iter	Logloss
0	0.6863412261
1	0.6811321757
2	0.6753198959
3	0.6697716952
4	0.6642090427
5	0.6577037736
6	0.6522290405
7	0.6466014992
8	0.6408067649
9	0.6358218176
10	0.6300443523
11	0.6240991742
12	0.6196618162
13	0.6149236798
14	0.6093145637
15	0.6047281657
16	0.6013241718
17	0.5958623924
18	0.5903733417
19	0.5866505094
20	0.5831864557
21	0.578783879
22	0.574945301
23	0.5703621198
24	0.56627732
25	0.5629068579
26	0.5589454454
27	0.5544253288
28	0.5504193027
29	0.5470888377
30	0.5441571856
31	0.539656845
32	0.5356519596
33	0.5315661541
34	0.5280106763
35	0.5248633733
36	0.5224134108
37	0.5198513965
38	0.516766771
39	0.5139062728
40	0.510172085
41	0.5066325595
42	0.5033935592
43	0.5006117484
44	0.4980917431
45	0.4959463474
46	0.4934198296
47	0.4906410223
48	0.4878576272
49	0.4850977028
50	0.4826157498
51	0.4798529668
52	0.4776348966
53	0.4754651662
54	0.4733754963
55	0.4706336761
56	0.4677618621
57	0.4657007724
58	0.4637681787
59	0.4615517742
60	0.4600032112
61	0.4584260358
62	0.4567343175
63	0.4541223193
64	0.453010772
65	0.4512377056
66	0.4487024918
67	0.4468152242
68	0.4449902411
69	0.4426412038
70	0.4401906083
71	0.438099217
72	0.4367449696
73	0.435352025
74	0.4340243496
75	0.4315947391
76	0.4298990188
77	0.4285587223
78	0.4266108888
79	0.4244338972
80	0.4228678673
81	0.4214530965
82	0.4200924532
83	0.4184639577
84	0.4168302682
85	0.41567241
86	0.4140974324
87	0.4124542161
88	0.4107650371
89	0.4091246857
90	0.4075742825
91	0.4062728264
92	0.4044987333
93	0.4030508705
94	0.4012366129
95	0.3995009733
96	0.3983566795
97	0.3970163295
98	0.3955954072
99	0.3946457713
100	0.3932682348
101	0.3921086213
102	0.3912041177
103	0.3896084631
104	0.3881309507
105	0.3867840606
106	0.3855611442
107	0.3841345127
108	0.3829608289
109	0.3819127157
110	0.3810000161
111	0.3790355892
112	0.3774672784
113	0.3762711949
114	0.3750759806
115	0.3735546648
116	0.3728014739
117	0.3714192443
118	0.3705934674
119	0.3694736314
120	0.3687790927
121	0.3679781825
122	0.3666546985
123	0.3655144498
124	0.3643546132
125	0.3636557274
126	0.3625549648
127	0.3610147127
128	0.3596348387
129	0.3584073558
130	0.3569601955
131	0.3558912574
132	0.3548688871
133	0.3533836706
134	0.3524619461
135	0.3518337738
136	0.3505366445
137	0.3497722688
138	0.3489029731
139	0.3482651514
140	0.3471164822
141	0.3458629512
142	0.3445866718
143	0.3436772733
144	0.3426979307
145	0.3417626905
146	0.3407936721
147	0.3398190649
148	0.3390524477
149	0.3381670659
150	0.3375138331
151	0.3365898236
152	0.3358887432
153	0.3346492296
154	0.3336017974
155	0.3330831938
156	0.332423833
157	0.3312568983
158	0.3299834241
159	0.3286907892
160	0.3276277355
161	0.3267133933
162	0.3259380258
163	0.3249528652
164	0.324187613
165	0.3237796861
166	0.3228611249
167	0.3218480618
168	0.3209570937
169	0.3200491567
170	0.3189373253
171	0.3179032968
172	0.3172849037
173	0.3166655394
174	0.3157718111
175	0.3150160189
176	0.3142829566
177	0.3138661545
178	0.3133629351
179	0.3125060819
180	0.3115251782
181	0.31102077
182	0.3105547411
183	0.3094534497
184	0.3087456136
185	0.3079834951
186	0.3072245071
187	0.3061540002
188	0.3054721213
189	0.3048466733
190	0.3042662444
191	0.3037024702
192	0.3028928398
193	0.302015533
194	0.3010006633
195	0.3002252707
196	0.2999681926
197	0.299422845
198	0.2986711713
199	0.2980459137
