iter	Passed	Remaining
0	2	438
1	4	426
2	6	406
3	8	408
4	10	401
5	12	393
6	14	388
7	16	385
8	17	379
9	19	374
10	21	369
11	23	371
12	25	369
13	27	365
14	29	363
15	31	361
16	33	357
17	35	357
18	37	355
19	39	358
20	42	358
21	44	357
22	46	354
23	48	354
24	50	351
25	52	350
26	54	350
27	56	350
28	59	349
29	61	350
30	63	348
31	65	346
32	68	344
33	70	345
34	73	344
35	75	343
36	77	340
37	79	338
38	81	334
39	83	333
40	85	333
41	88	332
42	90	331
43	92	329
44	95	329
45	97	326
46	99	324
47	101	322
48	104	320
49	106	318
50	108	316
51	110	314
52	112	311
53	114	309
54	116	307
55	118	304
56	120	302
57	122	300
58	124	297
59	126	295
60	128	293
61	130	289
62	132	287
63	134	285
64	135	280
65	137	278
66	139	276
67	141	273
68	142	271
69	145	269
70	147	267
71	149	265
72	151	263
73	153	261
74	155	259
75	157	257
76	159	254
77	162	253
78	164	251
79	166	249
80	168	246
81	170	244
82	172	243
83	174	241
84	177	239
85	179	237
86	181	235
87	183	233
88	185	230
89	187	229
90	189	227
91	192	225
92	194	223
93	196	221
94	198	219
95	200	217
96	202	215
97	204	212
98	206	210
99	209	209
100	211	207
101	213	205
102	215	203
103	217	201
104	219	198
105	222	197
106	224	195
107	227	193
108	229	191
109	231	189
110	233	187
111	235	185
112	238	183
113	240	181
114	242	179
115	244	177
116	246	175
117	249	173
118	251	171
119	253	169
120	256	167
121	258	165
122	260	162
123	262	160
124	264	158
125	266	156
126	269	154
127	271	152
128	273	150
129	275	148
130	277	146
131	279	144
132	281	141
133	283	139
134	286	137
135	288	135
136	290	133
137	292	131
138	295	129
139	297	127
140	299	125
141	301	123
142	304	121
143	306	119
144	308	116
145	310	114
146	312	112
147	315	110
148	317	108
149	319	106
150	321	104
151	323	102
152	325	99
153	327	97
154	329	95
155	332	93
156	334	91
157	336	89
158	338	87
159	340	85
160	342	82
161	344	80
162	346	78
163	349	76
164	351	74
165	353	72
166	355	70
167	358	68
168	360	66
169	362	64
170	365	61
171	367	59
172	369	57
173	371	55
174	374	53
175	376	51
176	379	49
177	382	47
178	384	45
179	386	42
180	388	40
181	391	38
182	393	36
183	395	34
184	397	32
185	399	30
186	401	27
187	403	25
188	406	23
189	408	21
190	410	19
191	412	17
192	414	15
193	416	12
194	418	10
195	420	8
196	422	6
197	425	4
198	427	2
199	430	0
